id,text
1114611444828471303a,Ok Twitter fam settle an argument with my hubs.  Is texting while sitting at a red light/stopped traffic still texting while driving?
1115633346187530240b,texting and driving is bad but have you ever texted while walking down some stairs THATS LETHAL
1114584373007921152f,Rhode Island State Police troopers have been assigned to extra patrols to enforce the state's bans on texting or talking on a hand-held cellphone while driving.  https://t.co/1b0DYSZAQ1
1115606463391522816f,@AllMeForeallll_ Thank you girl. Texting and damn driving
1114353508860538886b,.@FraminghamPD pulled over 6 drivers in less than 45 minutes during today's distracted driving crackdown demonstration. Each were given a written warning. The fine for texting while driving is $100 @wbz #wbz #Framingham #textingwhiledriving https://t.co/3pOmvgqjaC
1113027566699511808e,"RT @TheOaklandPress: Police to increase texting, distracted driving enforcement this month https://t.co/yzExHqfXXL https://t.co/LcHNOvv3PC"
1115587781370306560d,@loveLEIGH_Lou Whoyyy what’s wrong wit me... TEXTING N DRIVING..... smh. I jus incriminated myself. Heyyyyyyyy officers
1114960951508336640f,"So please, STOP texting and driving, STOP vlogging and driving, STOP posting on your Instagram story and driving, STOP recording yourself singing along to a song a driving. It’s not worth it. Anything you want post, can wait. Especially with nice weather coming."
1112786379249991687l,You think texting & driving is dangerous?! Have you ever tried to look at ass & drive :downcast_face_with_sweat:
1115372212117176321j,"Who is texting the policewoman son?? How come the policewoman can answer the phone whilst driving? Just finished watching episode 1-3, I'm soooooo confused :confounded_face:#thebay"
1112781122109231104y,"@notcapnamerica I ride a scooter and am alert as hell at all times. The times I have seen people texting and driving while right next to me....I have kicked or slapped their doors & yelled, “hey. You’re risking my life, STOP TEXTING!”"
1112806839018815488t,Cops are extra pressed about texting and driving and not the heroin polluting our neighborhoods
1112752715506073600d,"@IanGraph Call them, ask if they have hands free and if so tell them that a friend of a friend killed a mother and baby while texting and driving so you have made the decision to not support this in any matter"
1113152201403314176t,"Traffic Tuesday! April is Distracted Driving month for traffic enforcement across the nation. You will be seeing law enforcement from all over cracking down on distracted driving. If you're texting, you're not driving! Georgia GOHS Georgia Department... https://t.co/0Ynq8dMjIv"
1112672341019054082u,"This nigga driving with his knee, speeding & texting with no DL :woman_getting_massage_light_skin_tone:"
1115253376848138243i,"Don't let an emoji wreck your life. If you're texting, you're not driving. #safetyalert #CalTIP #distractdriving #udriveutextupay https://t.co/TPq8zHPwBJ"
1112526768865341441w,Life is legitimately dangerous. You might as well not be a coward. Texting while driving & bad diets kill more people than being courageous. Our bodies are all slowly getting older.  What do we really have to lose? Be a legend.
1113242819043495937v,The numbers don't lie. https://t.co/m2wEyaHRjI https://t.co/qNamw3KQt3
1113895719117570048k,RT @MarissaKTVL: I’m at the CHP in Yreka where they are stopping anyone who is texting and driving or using their cell phone in efforts to…
1112777673099493376u,"TEXTING DRIVERS BEWARE!!!  Harris County is employing a new technology to combat texting and driving.  The first of its kind in this area, the “Cell Phone Terminator” will be used to short circuit, or render... https://t.co/2V8li9JDTU"
1113464541394894854y,@lowkeycIutch Having your unrestrained pet in the front seat of your car or running around your car is just as distracting as texting and driving. Time to make both illegal and primary offenses.
1115002973304889344j,RT @aubcurl: @VPOTUC Stop texting and driving
1115497777411149825u,@SamSachdevaNZ Questions might have been about texting while driving
1112792443819364352x,"According to the Fortuna Police Department:  TEXTING DRIVERS BEWARE!!!  The Fortuna Police Department is employing a new technology to combat texting and driving.  The first of its kind in this area, the “Cell Phone... https://t.co/eeEe5D3FSS"
1115389737349648384l,Stop texting and driving you maniacs god damn
1112525487883124739v,"If you are driving and texting me, i’m NOT going to text back. Simple. Whatever you have to text me can wait"
1115605167779373056d,@DrCamiloOrtiz @Tesla @elonmusk It's funny everybody in here talking about him driving an recording lol do you guys ever look thru your window when you are in traffic lol everybody and their grandmother :honeybee: on there phones lol with no AP they :honeybee: snapping scrolling thru IG texting man stop it
1113210646403977217p,My ma says never to go on my phone when driving but she’s the one that’s texting me flat out?¿?
1113234648279199744m,"I really wish y’all would stop driving drunk, while texting, tweeting, instagramming, and snap chatting. When you do this, you put everyone life around you in your distracted ass hands."
1113603595814019072n,RT @Quotables_06: Ima stop texting and driving for good :grinning_face_with_sweat::smiling_face_with_halo: https://t.co/JAdB9x6w8m
1114309703201218561j,I get Caught texting and driving at least twice a day
1113874524448219136c,@janosauro @HatterBanter :astonished_face:Texting & Driving Lurch!:face_with_rolling_eyes::persevering_face: https://t.co/KpohUD64wI
1114508729326530560d,"Responsible driving means following the rules, not texting and driving, not drinking and driving.  https://t.co/8gcQFSKIF9 #NotOutIndia NOT OUT INDIA"
1113113783180951554s,Think you're cool texting and driving ?  Just saw someone popping a pimple while driving
1114458316997124097i,RT @_MissBahamas: Fuck texting and driving i risk my life damn near everyday trying to eat a whole meal and drive.
1113804421169930247b,".@ToledoForTampa & @EmilySlosberg bill making texting while driving a primary offense passes unanimously in House State Affairs Committee ,after Slosberg talks movingly about her own family tragedy with a distracted driver.  Was originally a hands-free bill, but no longer.#FlaPol"
1114154749711069185m,My Uber driver is really texting and driving right now. Just fuck my life huh? Lol
1115309488108527616v,@WJCaruso @freedomisgreen Now show the texting and driving death rates.
1115292198453555201t,What’s wrong with these Springfield college kids why would you cross the street when you obviously see me texting and driving  :face_with_rolling_eyes::upside-down_face:
1115286153282899969f,RT @ozarkhighschool: Thank you @FarmBureau @ArFB Amanda Williams for the texting and driving safety presentation at OHS! @ozarkschools http…
1112443170263105537u,My mom just told a kid he’s not supposed to be texting in driving in a shopping cart at the food store:face_with_tears_of_joy::face_with_tears_of_joy:  what a clown
1115372307143319554k,RT @AAATexas: Did you know turning your location services on can help you prevent texting and driving? #DontDriveIntexticated #DistractedDr…
1115295135649001472a,Plainclothes Mounties crackdown on distracted drivers at Duncan intersection - https://t.co/ORGVfxIYe2 #texting #distracted driving
1113570114111135745e,RT @Colony_High: Every 15 Minutes- a very powerful demonstration on safe driving and sound judgment!!!  Thank you Ontario PD and FD for hel…
1113559880718266368p,"RT @ObermannCenter: During his time as a Fellow-in-Residence, Shaun Vecera testified before the Iowa Senate Transportation Committee about…"
1115640389648646144q,"RT @EntreprUnite: Routines including online shopping on your behalf, calling, texting, driving instructions, control of smart devices, etc.…"
1112879650609410049z,Had to take some evasive action by 380 exit 101 N. ... G you need to tell these foools stop texting & driving @thegabbydiaz @elporkman @BlackLotus_Luna @KInostrosa @lmay2kusa @ItsCaroLeezY @AtMuLa49 @Wild949 :pouting_face::face_with_symbols_on_mouth::pouting_face::face_with_symbols_on_mouth::pouting_face:
1115295207904485376b,"On a 56-9 vote, the Minnesota Senate passes @DaveOsmek’s bill cracking down on texting while driving.  -$150 fine for 1st offense, up from $50 -Driver could have license suspended 30 days on 3rd offense -Driver could face 10 years in prison for killing someone.  Goes to House. https://t.co/TiePC8jXIJ"
1112707220825882624d,RT @LegendaryEnergy: Life is legitimately dangerous. You might as well not be a coward. Texting while driving & bad diets kill more people…
1112352972548263936e,I be texting a driving and shit and people next to me look at me all appalled and shit .... mind yo fuck ass business before I crash into yo shit Peter .
1113221877017862145a,Love driving past a @DallasPD officer texting on his cell phone while driving :thinking_face::face_with_hand_over_mouth: I see you 5803 :eyes: https://t.co/OBvRAvm9JJ
1112834474922962944b,Texting and driving https://t.co/6Q6BwLBqIs
1112762862743756800t,New Jersey police departments to begin texting-while-driving crackdown April 1  https://t.co/TIEXJS9KZU
1115380673089503235v,"RT @jfjabbo: “I pulled a car over for texting and driving, went to talk to the driver, a young black male, who was looking at me absolutely…"
1115023280790888448u,"BAD DRIVING BRACKET *FINAL FOUR GAME TWO* “winner” is: TEXTING AND DRIVING, 92-8!  STANDBY AS THE CHAMPIONSHIP GAME IS COMING UP!! https://t.co/n6Ifs8Xq8n"
1113110294207885313h,Run so fast that your phone thinks your driving and warns you about texting and driving lol
1114255305276305408h,"Thank you, @SpeakerDeLeo, for your statement today on moving the conversation around #HandsFree legislation forward. Eliminating the use of hand-held mobile devices while driving will save lives, promote safety on our roads, and curtail the dangerous act of texting while driving."
1113530536172118021c,@kyoongT__T FUCK texting and driving people i’m glad you’re okay🥰
1115591137664884736h,@FRSCNigeria what is the FRSC doing to curb the increasing number of drivers texting and driving? Sometimes it seems like everyone on the road is texting behind the wheels.
1114517923513733121h,Terrible drivers power ranking:  1) Taxis 2) Florida plates 3) Texting and driving
1114614771058466817h,@THENUFILEZ_show @3_Blanc0 Girl you better not be texting & driving. :neutral_face::face_with_open_mouth:
1112424153804693504z,"If I ask for you to stop texting while driving with me in the car, it shouldn’t be up for debate. https://t.co/w8HyvXAYTt"
1113602595766116359l,"RT @S_Mckenzieee: No I’m not texting and driving, I’m eating and driving. Mind ya business."
1113445866730328064p,"April is Distracted Driving Awareness Month. Remember, one “LOL” or “SMH” could change your or someone else's life forever. Ticket? Jail? Injured? Dead? Remember: If you’re texting, you’re not driving. PLEASE... Don't drive distracted. #BeResponsible #JustDrive https://t.co/swDIzagEm2"
1113841280369532929t,Texting and driving has reached epidemic proportions.  Decide: Are you a part of the problem or a part of the cure?   https://t.co/cmEr3T3kIP
1112440234636136452t,RT @RayLong: Illinois Secretary of State Jesse White: I am issuing a call to action to motorists throughout Illinois: Stop driving while di…
1114546872331513857d,This lady texting and driving smh I just came home know I’m scared of everything
1113297182583427072a,@rubynuciforo @boy_from_school @miminuciforo94 Was this the texting and driving of their generation
1114173348752179200d,"Distracted Driving, A Leading Killer, Is Caused by More Than Texting #RoadSafety #DriveBuckledUp #Driving #BehavioralSafety #EyesUpPhoneDown #SlowDownAndDrive #EndDD #DriveSafely #TeenDrivers #JSA #SafetyFirst #Safety #Risk #JustDrive #JobSafetyAnalysis  https://t.co/7GH8NYCCit"
1114741420227579904l,@eastvancity @Mona_Boucher The victim of negligence being the one on trial and having to watch what they say is so astoundingly wrong. No one has told the driver not to say anything about texting and driving and if they did it probably wouldn't be used against them anyway.
1114172267381100544a,RT @MyattSnider: Having some fun today! Went to the @MVWarriorStrong high school near @MartinsvilleSwy to talk about texting and driving. B…
1113548463327858688a,@XrpBoy @xrptipbot 400 hundred dollar ticket for texting and driving. 40000 dollar ticket for texting and flying.
1113496585025888256p,I just seen a cop pull up next to this white lady n told her to stop texting n driving.. nigga just waved his finger at her no ticket or nothing lmao shits crazy.. must be nice
1114587007903313922i,RT @StLCountyDOH: April is National Distracted Driving Month. Keep your eyes on the road and avoiding texting or talking while driving to p…
1112688563748069376d,"@Delaware_Ohio It's April Fool's Day, but texting and driving is NO JOKE! April is National Distracted Driving Awareness Month. Please put the devices down when your in the car and focus on the task at hand -- DRIVING! https://t.co/r9INwMXcgX"
1114623963408285696j,"@CyclingInCork @DiarmaidTwomey Have seen (from my bus seat) several motorists texting while driving 50/60/70 Km on the M7, Ireland's busiest road. Crazy stuff."
